source,flow_m3_per_day,size_PE,ch4_kg_per_hr,has_ad,reported_biogas_production,biogas_production_kgCH4_per_hr
Toprak 1995,1336.73,,3.77735,no,no,
Paredes et al. 2015,13824.0,,53.72011816666667,no,no,
Paredes et al. 2015,19008.0,,16.78753693333333,no,no,
Paredes et al. 2015,66960.0,,47.005103416666664,no,no,
Paredes et al. 2015,89510.4,,238.38302445833332,no,no,
Paredes et al. 2015,117244.8,,537.2011816666667,no,no,
"Schneider et al., 2015",64100.0,,0.048749999999999995,no,no,
"Masuda et al., 2018",2.292,,4.015775e-05,no,no,
Ho et al 2021,95238.09524,,162.01,no,no,
"Bao et al., 2016",75200.0,,2.2683095237499997,no,no,
Liu et al. 2014,80000.0,,0.29038800000000003,no,no,
Liu et al. 2014,80000.0,,5.313553333333333,no,no,
Souza et al. 2012,1.26,,0.00105,no,no,
Souza et al. 2012,1.63,,0.0012041666666666665,no,no,
Souza et al. 2012,27.32,,0.021179166666666666,no,no,
"Masuda et al., 2018",14.377,,0.00030694895833333335,no,no,
"Tumendelger et al., 2019",5000.0,,0.020738888875,no,no,
Yver Kwok et al. 2015,67200.0,,1.425,yes,no,
Guha et al. 2020,166547.9452,,120.0,no,no,
"Yan et al., 2014",230000.0,,3.8333333333333335,no,no,
"Yan et al., 2014",230000.0,,6.708333333333333,no,no,
"Hwang et al., 2016",1710000.0,,27.76839075,Digester not in measurement,no,
"Ren et al., 2013",50000.0,,1.1420091325,no,no,
"Ren et al., 2013",50000.0,,2.7127853883333333,no,no,
"Ren et al., 2013",100000.0,,8.677397258333334,no,no,
"Kosse et al., 2016",278011.0,,20.00171232916667,yes,no,
"Ren et al., 2013",100000.0,,27.55216895,no,no,
Wang et al. 2011,300000.0,,1.6090182649999998,yes,no,
Wang et al. 2011,300000.0,,2.53344748875,yes,no,
Czepiel et al. 1993,3500.0,,0.049086758,no,no,
"Masuda et al., 2015",327178.0,,15.697727791666667,no,no,
"Chen et al., 2016",18000.0,,0.011000000000000001,no,no,
"Chen et al., 2016",18000.0,,0.018887499999999998,no,no,
"Hwang et al., 2016",1710000.0,,25.780002749999998,Digester not in measurement,no,
Noyola et al. 2018,198720.0,,52.96803654166666,no,no,
"Tumendelger et al., 2019",14700.0,,0.0065611111250000005,yes,no,
"Yan et al., 2014",70000.0,,3.5,no,no,
"Ren et al., 2013",175000.0,,3.6420091325,no,no,
"Ren et al., 2013",175000.0,,9.233904108333332,no,no,
Lamb et al. 2016,222758.41,,103.2,no,no,
"Samuelsson et al., 2018",403561.6438,,31.0,yes,no,
Guha et al. 2020,402265.7534,,204.0,yes,no,
Guha et al. 2020,402265.7534,,290.0,yes,no,
Guha et al. 2020,402265.7534,,427.0,yes,no,
Guha et al. 2020,226843.8356,,82.0,yes,no,
Guha et al. 2020,226843.8356,,91.0,yes,no,
Guha et al. 2020,250698.6301,,83.0,yes,no,
Guha et al. 2020,250698.6301,,130.0,yes,no,
Guha et al. 2020,259378.0822,,229.0,yes,no,
Guha et al. 2020,264791.7808,,62.0,yes,no,
Guha et al. 2020,264791.7808,,80.0,yes,no,
Daelman et al. 2012,88760.0,,12.583333333333334,yes,no,
Galfalk et al 2022,42000.0,,10.319634704166667,yes,no,
"Delre et al., 2017",19000.0,,11.875,yes,no,
"Delre et al., 2017",24000.0,,8.6,yes,no,
"Delre et al., 2017",30000.0,,2.9,yes,no,
"Delre et al., 2017",150000.0,,14.166666666666666,yes,no,
"Delre et al., 2017",12000.0,,2.733333333333333,yes,no,
"Yoshida et al., 2014",46097.0,,26.02,yes,no,
"Yoshida et al., 2014",46584.0,,68.52,yes,no,
"Yoshida et al., 2014",46832.0,,92.25999999999999,yes,no,
"Yoshida et al., 2014",48154.0,,84.42,yes,no,
"Yoshida et al., 2014",51279.0,,31.7,yes,no,
"Yoshida et al., 2014",59406.0,,10.549999999999999,yes,no,
"Yoshida et al., 2014",69315.06849,,4.99,yes,no,
"Yoshida et al., 2014",69315.06849,,6.84,yes,no,
"Yoshida et al., 2014",69315.06849,,39.22,yes,no,
"Fredenslund et al., 2023",,,9.39,yes,yes,466.62
"Fredenslund et al., 2023",,1000000.0,14.52,yes,yes,445.0
"Fredenslund et al., 2023",,300000.0,9.25,yes,yes,216.6
"Fredenslund et al., 2023",,350000.0,17.98,yes,yes,158.5
"Fredenslund et al., 2023",,220000.0,28.16,yes,yes,383.0
"Fredenslund et al., 2023",,290000.0,3.58,yes,yes,107.22
"Fredenslund et al., 2023",,420000.0,7.39,yes,yes,103.33
"Fredenslund et al., 2023",,130000.0,4.98,yes,yes,56.0
"Fredenslund et al., 2023",,200000.0,8.99,yes,yes,86.8
"Fredenslund et al., 2023",,,1.6,yes,yes,14.04225
"Fredenslund et al., 2023",,19300.0,7.52,yes,no,
"Fredenslund et al., 2023",,125000.0,5.87,yes,yes,100.75
"Fredenslund et al., 2023",,130000.0,7.37,yes,yes,23.68
"Fredenslund et al., 2023",,30000.0,2.27,yes,yes,20.7
"Fredenslund et al., 2023",,100000.0,3.24,yes,yes,76.37
"Fredenslund et al., 2023",,40000.0,1.3,yes,yes,28.31
"Fredenslund et al., 2023",,60000.0,6.64,yes,yes,11.43
"Fredenslund et al., 2023",,50000.0,1.98,yes,yes,28.39
"Fredenslund et al., 2023",,26000.0,1.6,yes,yes,22.0
"Fredenslund et al., 2023",,,3.55,yes,yes,24.74
"Fredenslund et al., 2023",,85000.0,4.72,yes,yes,7.26
"Fredenslund et al., 2023",,,3.52,yes,yes,17.75
"Fredenslund et al., 2023",,80000.0,6.82,yes,yes,34.13
"Fredenslund et al., 2023",,330000.0,6.73,yes,yes,86.0
"Fredenslund et al., 2023",,150000.0,8.95,yes,yes,41.0
